omega0,L_int,width,label
3.3930151599299464e+35,0.00047393341105530986,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0005548717181056782,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0006496326622509762,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0007605768722616973,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0008904681248860912,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.001042542194427023,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.001220587460443627,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0014290392816292974,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0016730904868524094,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.001958820735847469,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.002293347972113888,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0026850057409278116,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.0031435507897086302,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.003680406122358245,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.004308945562399374,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.005044826913782092,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.005906382018864152,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.006915073430459547,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.008096029074300112,800.0,"$3.190461640545119e+17\,\omega_0$"
3.3930151599299464e+35,0.009478668221106198,800.0,"$3.190461640545119e+17\,\omega_0$"
4.6548310601397516e+35,0.00047393341105530986,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0005548717181056782,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0006496326622509762,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0007605768722616973,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0008904681248860912,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.001042542194427023,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.001220587460443627,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0014290392816292974,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0016730904868524094,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.001958820735847469,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.002293347972113888,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0026850057409278116,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.0031435507897086302,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.003680406122358245,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.004308945562399374,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.005044826913782092,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.005906382018864152,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.006915073430459547,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.008096029074300112,800.0,"$4.376950659100641e+17\,\omega_0$"
4.6548310601397516e+35,0.009478668221106198,800.0,"$4.376950659100641e+17\,\omega_0$"
6.385899024067225e+35,0.00047393341105530986,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0005548717181056782,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0006496326622509762,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0007605768722616973,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0008904681248860912,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.001042542194427023,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.001220587460443627,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0014290392816292974,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0016730904868524094,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.001958820735847469,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.002293347972113888,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0026850057409278116,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.0031435507897086302,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.003680406122358245,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.004308945562399374,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.005044826913782092,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.005906382018864152,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.006915073430459547,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.008096029074300112,800.0,"$6.004678705031675e+17\,\omega_0$"
6.385899024067225e+35,0.009478668221106198,800.0,"$6.004678705031675e+17\,\omega_0$"
8.760727471891984e+35,0.00047393341105530986,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.0005548717181056782,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.0006496326622509762,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.0007605768722616973,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.0008904681248860912,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.001042542194427023,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.001220587460443627,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.0014290392816292974,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.0016730904868524094,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.001958820735847469,800.0,"$8.237736533696558e+17\,\omega_0$"
8.760727471891984e+35,0.002293347972113888,800.0,"$8.237736533696558e+17\,\omega_0$"
