loss,label,L_int,width
0,0 dB/cm,0.00019497011619761206,0.49593679373280114
0,0 dB/cm,0.0002723469712410284,0.49593679373280114
0,0 dB/cm,0.0003804320076876995,0.49593679373280114
0,0 dB/cm,0.0005314122342311942,0.4290689114317492
0,0 dB/cm,0.0007423112592629537,0.30696234375156767
0,0 dB/cm,0.001036908769000648,0.21974336683715223
0,0 dB/cm,0.001448421779696556,0.15723643338182117
0,0 dB/cm,0.0020232499855520345,0.11265784518111992
0,0 dB/cm,0.0028262075048981297,0.08067755364583429
0,0 dB/cm,0.003947830924394235,0.057419159801990194
0,0 dB/cm,0.0055145876516824255,0.04094446416260058
0,0 dB/cm,0.007703135608005954,0.029315267240678514
0,0 dB/cm,0.010760242096655399,0.02107791942098375
0,0 dB/cm,0.015030607777214858,0.01477877108827596
0,0 dB/cm,0.020995733007038383,0.01041782224255519
0,0 dB/cm,0.029328208881286146,0.007510523012074664
0,0 dB/cm,0.04096755449766891,0.005087773653340874
0,0 dB/cm,0.057226151392777126,0.003634124038100667
0,0 dB/cm,0.07993721967015122,0.0026650242946071206
0,0 dB/cm,0.11166152070468471,0.0016959245511136496
0,0 dB/cm,0.1559760929580897,0.0012113746793668764
10,10 dB/cm,0.00019497011619761206,0.49593679373280114
10,10 dB/cm,0.0002723469712410284,0.49593679373280114
10,10 dB/cm,0.0003804320076876995,0.49593679373280114
10,10 dB/cm,0.0005314122342311942,0.431491660790483
10,10 dB/cm,0.0007423112592629537,0.3098696429820482
10,10 dB/cm,0.001036908769000648,0.22361976581112628
10,10 dB/cm,0.001448421779696556,0.16159738222754194
10,10 dB/cm,0.0020232499855520345,0.11653424415509396
10,10 dB/cm,0.0028262075048981297,0.08455395261980829
10,10 dB/cm,0.003947830924394235,0.06178010864771096
10,10 dB/cm,0.0055145876516824255,0.045789962880068084
10,10 dB/cm,0.007703135608005954,0.03416076595814606
10,10 dB/cm,0.010760242096655399,0.025923418138451254
10,10 dB/cm,0.015030607777214858,0.020108819677490203
10,10 dB/cm,0.020995733007038383,0.016232420703516205
10,10 dB/cm,0.029328208881286146,0.013325121473035679
10,10 dB/cm,0.04096755449766891,0.011871471857795435
10,10 dB/cm,0.057226151392777126,0.010902372114301926
10,10 dB/cm,0.07993721967015122,0.01041782224255519
10,10 dB/cm,0.11166152070468471,0.009933272370808417
10,10 dB/cm,0.1559760929580897,0.009933272370808417
30,30 dB/cm,0.00019497011619761206,0.49593679373280114
30,30 dB/cm,0.0002723469712410284,0.49593679373280114
30,30 dB/cm,0.0003804320076876995,0.49593679373280114
30,30 dB/cm,0.0005314122342311942,0.4416672080971648
30,30 dB/cm,0.0007423112592629537,0.31956064041698323
30,30 dB/cm,0.001036908769000648,0.23282621337431456
30,30 dB/cm,0.001448421779696556,0.1703192799189835
30,30 dB/cm,0.0020232499855520345,0.126225241590029
30,30 dB/cm,0.0028262075048981297,0.09424495005474337
30,30 dB/cm,0.003947830924394235,0.07195565595439271
30,30 dB/cm,0.0055145876516824255,0.05645006005849665
30,30 dB/cm,0.007703135608005954,0.046274512751814864
30,30 dB/cm,0.010760242096655399,0.0394908145473603
30,30 dB/cm,0.015030607777214858,0.03512986570163953
30,30 dB/cm,0.020995733007038383,0.032707116342905775
30,30 dB/cm,0.029328208881286146,0.03125346672766553
30,30 dB/cm,0.04096755449766891,0.030284366984172025
30,30 dB/cm,0.057226151392777126,0.029799817112425287
30,30 dB/cm,0.07993721967015122,0.029315267240678514
30,30 dB/cm,0.11166152070468471,0.02883071736893174
30,30 dB/cm,0.1559760929580897,0.02883071736893174
100,100 dB/cm,0.00019497011619761206,0.49593679373280114
100,100 dB/cm,0.0002723469712410284,0.49593679373280114
100,100 dB/cm,0.0003804320076876995,0.49593679373280114
100,100 dB/cm,0.0005314122342311942,0.4736474996324505
100,100 dB/cm,0.0007423112592629537,0.3529945815675092
100,100 dB/cm,0.001036908769000648,0.267229254268334
100,100 dB/cm,0.001448421779696556,0.2076296200434834
100,100 dB/cm,0.0020232499855520345,0.16644288094500947
100,100 dB/cm,0.0028262075048981297,0.1393080881271913
100,100 dB/cm,0.003947830924394235,0.12283339248780174
100,100 dB/cm,0.0055145876516824255,0.11314239505286669
100,100 dB/cm,0.007703135608005954,0.10684324672015891
100,100 dB/cm,0.010760242096655399,0.10248229787443813
100,100 dB/cm,0.015030607777214858,0.10005954851570435
100,100 dB/cm,0.020995733007038383,0.09812134902871737
100,100 dB/cm,0.029328208881286146,0.09715224928522385
100,100 dB/cm,0.04096755449766891,0.09618314954173035
100,100 dB/cm,0.057226151392777126,0.09569859966998358
100,100 dB/cm,0.07993721967015122,0.09521404979823685
100,100 dB/cm,0.11166152070468471,0.0947294999264901
100,100 dB/cm,0.1559760929580897,0.0947294999264901
