L_int_m,v_0_m_per_s,width
4.9999999999999996e-05,29949266.554200057,1.611066688055675
4.9999999999999996e-05,29950765.516490057,1.659592793117593
4.9999999999999996e-05,29952264.478780057,1.6935610666609353
4.9999999999999996e-05,29953763.441070057,1.7323819507104699
4.9999999999999996e-05,29955262.403360058,1.771202834760004
4.9999999999999996e-05,29956761.365650054,1.8051711083033466
4.9999999999999996e-05,29958260.327940054,1.8342867713404976
4.9999999999999996e-05,29959759.290230054,1.863402434377648
4.9999999999999996e-05,29961258.252520055,1.8828128764024155
4.9999999999999996e-05,29962757.214810055,1.9070759289333743
4.9999999999999996e-05,29964256.177100055,1.9216337604519493
4.9999999999999996e-05,29965755.139390055,1.9264863709581412
4.9999999999999996e-05,29967254.101680055,1.9313389814643331
4.9999999999999996e-05,29968753.063970055,1.9313389814643331
4.9999999999999996e-05,29970252.026260056,1.936191591970525
4.9999999999999996e-05,29971750.988550056,1.936191591970525
4.9999999999999996e-05,29973249.950840052,1.9410442024767165
4.9999999999999996e-05,29974748.913130052,1.9458968129829084
4.9999999999999996e-05,29976247.875420053,1.9507494234891003
4.9999999999999996e-05,29977746.837710053,1.9556020339952922
4.9999999999999996e-05,29979245.800000057,1.960454644501484
4.9999999999999996e-05,29980744.762290053,1.9653072550076756
4.9999999999999996e-05,29982243.724580057,1.9750124760200591
4.9999999999999996e-05,29983742.686870053,1.984717697032443
4.9999999999999996e-05,29985241.649160057,1.9992755285510182
4.9999999999999996e-05,29986740.611450054,2.0138333600695937
4.9999999999999996e-05,29988239.573740054,2.028391191588169
4.9999999999999996e-05,29989738.53603005,2.042949023106744
4.9999999999999996e-05,29991237.498320054,2.05750685462532
4.9999999999999996e-05,29992736.46061005,2.0769172966500866
4.9999999999999996e-05,29994235.422900055,2.0914751281686623
4.9999999999999996e-05,29995734.38519005,2.1108855701934295
4.9999999999999996e-05,29997233.347480055,2.1254434017120047
4.9999999999999996e-05,29998732.30977005,2.1400012332305804
4.9999999999999996e-05,30000231.272060055,2.1545590647491553
4.9999999999999996e-05,30001730.23435005,2.169116896267731
4.9999999999999996e-05,30003229.196640056,2.1836747277863062
4.9999999999999996e-05,30004728.158930052,2.19337994879869
4.9999999999999996e-05,30006227.121220052,2.2030851698110734
4.9999999999999996e-05,30007726.08351005,2.212790390823457
