sigmaE,L_int,width,label
0.03,1.2864905343886689e-08,0.2380068392769907,"$0.1\,\sigma_E$"
0.03,5.121611065893292e-08,0.2380068392769907,"$0.1\,\sigma_E$"
0.03,2.0389500901182621e-07,0.2380068392769907,"$0.1\,\sigma_E$"
0.03,8.117206512767789e-07,0.2380068392769907,"$0.1\,\sigma_E$"
0.03,3.231518117596409e-06,0.23788959452857836,"$0.1\,\sigma_E$"
0.03,1.2864905343886687e-05,0.23378602833414752,"$0.1\,\sigma_E$"
0.03,5.1216110658932916e-05,0.1635564240351734,"$0.1\,\sigma_E$"
0.03,0.0002038950090118262,0.04431851489985344,"$0.1\,\sigma_E$"
0.03,0.0008117206512767789,0.011021006350757189,"$0.1\,\sigma_E$"
0.03,0.003231518117596402,0.002696629213483136,"$0.1\,\sigma_E$"
0.03,0.012864905343886675,0.0005862237420615562,"$0.1\,\sigma_E$"
0.075,1.2864905343886689e-08,0.5865168539325842,"$0.25\,\sigma_E$"
0.075,5.121611065893292e-08,0.5865168539325842,"$0.25\,\sigma_E$"
0.075,2.0389500901182621e-07,0.5865168539325842,"$0.25\,\sigma_E$"
0.075,8.117206512767789e-07,0.5865168539325842,"$0.25\,\sigma_E$"
0.075,3.231518117596409e-06,0.5835857352222764,"$0.25\,\sigma_E$"
0.075,1.2864905343886687e-05,0.5132388861748901,"$0.25\,\sigma_E$"
0.075,5.1216110658932916e-05,0.17733268197361993,"$0.25\,\sigma_E$"
0.075,0.0002038950090118262,0.04425989252564729,"$0.25\,\sigma_E$"
0.075,0.0008117206512767789,0.010845139228138762,"$0.25\,\sigma_E$"
0.075,0.003231518117596402,0.002638006839277012,"$0.25\,\sigma_E$"
0.075,0.012864905343886675,0.00029311187103078746,"$0.25\,\sigma_E$"
0.15,1.2864905343886689e-08,1.1390327308255983,"$0.5\,\sigma_E$"
0.15,5.121611065893292e-08,1.1390327308255983,"$0.5\,\sigma_E$"
0.15,2.0389500901182621e-07,1.1390327308255983,"$0.5\,\sigma_E$"
0.15,8.117206512767789e-07,1.1372740595994137,"$0.5\,\sigma_E$"
0.15,3.231518117596409e-06,1.1114802149487053,"$0.5\,\sigma_E$"
0.15,1.2864905343886687e-05,0.7140205178309722,"$0.5\,\sigma_E$"
0.15,5.1216110658932916e-05,0.17762579384465074,"$0.5\,\sigma_E$"
0.15,0.0002038950090118262,0.04396678065461647,"$0.5\,\sigma_E$"
0.15,0.0008117206512767789,0.011138251099169473,"$0.5\,\sigma_E$"
0.15,0.003231518117596402,0.0017586712261846496,"$0.5\,\sigma_E$"
0.15,0.012864905343886675,0.0005862237420615749,"$0.5\,\sigma_E$"
0.44999999999999996,1.2864905343886689e-08,2.138544211040547,"$1.5\,\sigma_E$"
0.44999999999999996,5.121611065893292e-08,2.138544211040547,"$1.5\,\sigma_E$"
0.44999999999999996,2.0389500901182621e-07,2.1403028822667314,"$1.5\,\sigma_E$"
0.44999999999999996,8.117206512767789e-07,2.152613580850024,"$1.5\,\sigma_E$"
0.44999999999999996,3.231518117596409e-06,2.2528578407425495,"$1.5\,\sigma_E$"
0.44999999999999996,1.2864905343886687e-05,0.8723009281875914,"$1.5\,\sigma_E$"
0.44999999999999996,5.1216110658932916e-05,0.18290180752320448,"$1.5\,\sigma_E$"
0.44999999999999996,0.0002038950090118262,0.043966780654616316,"$1.5\,\sigma_E$"
0.44999999999999996,0.0008117206512767789,0.008793356130923323,"$1.5\,\sigma_E$"
0.44999999999999996,0.003231518117596402,0.0017586712261847249,"$1.5\,\sigma_E$"
0.44999999999999996,0.012864905343886675,0.0,"$1.5\,\sigma_E$"
