sigmaE,L_int,width,label
0.004999999999999999,0.23396297800778434,0.03982413287738153,"$0.05\,\sigma_E$"
0.004999999999999999,0.2925887097646437,0.03980459208597947,"$0.05\,\sigma_E$"
0.004999999999999999,0.36590469915667856,0.03980459208597947,"$0.05\,\sigma_E$"
0.004999999999999999,0.4575919862821658,0.03976551050317537,"$0.05\,\sigma_E$"
0.004999999999999999,0.5722539950764554,0.039726428920371266,"$0.05\,\sigma_E$"
0.004999999999999999,0.7156476614497188,0.03960918417195896,"$0.05\,\sigma_E$"
0.004999999999999999,0.8949724768108014,0.039413776257938446,"$0.05\,\sigma_E$"
0.004999999999999999,1.1192319592385571,0.039120664386907665,"$0.05\,\sigma_E$"
0.004999999999999999,1.399685701000387,0.03863214460185637,"$0.05\,\sigma_E$"
0.004999999999999999,1.7504146887636995,0.037909135319980455,"$0.05\,\sigma_E$"
0.004999999999999999,2.189028280027326,0.0367562286272594,"$0.05\,\sigma_E$"
0.004999999999999999,2.737548331557836,0.03501709819247679,"$0.05\,\sigma_E$"
0.004999999999999999,3.423514870041578,0.0324181729360039,"$0.05\,\sigma_E$"
0.004999999999999999,4.2813688183273575,0.02886174890083048,"$0.05\,\sigma_E$"
0.004999999999999999,5.354181201007369,0.024562774792379095,"$0.05\,\sigma_E$"
0.004999999999999999,6.695815649075615,0.02022471910112359,"$0.05\,\sigma_E$"
0.004999999999999999,8.373632778429421,0.016316560820713238,"$0.05\,\sigma_E$"
0.004999999999999999,10.47187222331422,0.013092330239374691,"$0.05\,\sigma_E$"
0.004999999999999999,13.095882129427228,0.010473864191499755,"$0.05\,\sigma_E$"
0.004999999999999999,16.377408460544906,0.008382999511480214,"$0.05\,\sigma_E$"
0.01170173659660358,0.23396297800778434,0.09242485456467352,"$0.12\,\sigma_E$"
0.01170173659660358,0.2925887097646437,0.09233339008712313,"$0.12\,\sigma_E$"
0.01170173659660358,0.36590469915667856,0.09210472889324714,"$0.12\,\sigma_E$"
0.01170173659660358,0.4575919862821658,0.09151020978916957,"$0.12\,\sigma_E$"
0.01170173659660358,0.5722539950764554,0.09054983277489043,"$0.12\,\sigma_E$"
0.01170173659660358,0.7156476614497188,0.08894920441775851,"$0.12\,\sigma_E$"
0.01170173659660358,0.8949724768108014,0.08652539576267308,"$0.12\,\sigma_E$"
0.01170173659660358,1.1192319592385571,0.08282108442188209,"$0.12\,\sigma_E$"
0.01170173659660358,1.399685701000387,0.07724175129130804,"$0.12\,\sigma_E$"
0.01170173659660358,1.7504146887636995,0.06942153846074932,"$0.12\,\sigma_E$"
0.01170173659660358,2.189028280027326,0.05968057160163232,"$0.12\,\sigma_E$"
0.01170173659660358,2.737548331557836,0.04934508563843776,"$0.12\,\sigma_E$"
0.01170173659660358,3.423514870041578,0.03996997668952234,"$0.12\,\sigma_E$"
0.01170173659660358,4.2813688183273575,0.03210403162018843,"$0.12\,\sigma_E$"
0.01170173659660358,5.354181201007369,0.025655785952885615,"$0.12\,\sigma_E$"
0.01170173659660358,6.695815649075615,0.020533775210063533,"$0.12\,\sigma_E$"
0.01170173659660358,8.373632778429421,0.016417873720295788,"$0.12\,\sigma_E$"
0.01170173659660358,10.47187222331422,0.013125152528481595,"$0.12\,\sigma_E$"
0.01170173659660358,13.095882129427228,0.010472682679520154,"$0.12\,\sigma_E$"
0.01170173659660358,16.377408460544906,0.00836899969586108,"$0.12\,\sigma_E$"
0.027386127875258306,0.23396297800778434,0.21009855991844478,"$0.27\,\sigma_E$"
0.027386127875258306,0.2925887097646437,0.20731579753541898,"$0.27\,\sigma_E$"
0.027386127875258306,0.36590469915667856,0.20260650734876,"$0.27\,\sigma_E$"
0.027386127875258306,0.4575919862821658,0.19490039613422716,"$0.27\,\sigma_E$"
0.027386127875258306,0.5722539950764554,0.18334122931242783,"$0.27\,\sigma_E$"
0.027386127875258306,0.7156476614497188,0.16675168433669735,"$0.27\,\sigma_E$"
0.027386127875258306,0.8949724768108014,0.1454528491743079,"$0.27\,\sigma_E$"
0.027386127875258306,1.1192319592385571,0.1216923395961649,"$0.27\,\sigma_E$"
0.027386127875258306,1.399685701000387,0.0987880645974144,"$0.27\,\sigma_E$"
0.027386127875258306,1.7504146887636995,0.07909466927138598,"$0.27\,\sigma_E$"
0.027386127875258306,2.189028280027326,0.06314730023019989,"$0.27\,\sigma_E$"
0.027386127875258306,2.737548331557836,0.05041081086173585,"$0.27\,\sigma_E$"
0.027386127875258306,3.423514870041578,0.04024302523144943,"$0.27\,\sigma_E$"
0.027386127875258306,4.2813688183273575,0.03221582604964434,"$0.27\,\sigma_E$"
0.027386127875258306,5.354181201007369,0.02568703738177623,"$0.27\,\sigma_E$"
0.027386127875258306,6.695815649075615,0.020442600582996906,"$0.27\,\sigma_E$"
0.027386127875258306,8.373632778429421,0.016375486330882354,"$0.27\,\sigma_E$"
0.027386127875258306,10.47187222331422,0.013057577335736256,"$0.27\,\sigma_E$"
0.027386127875258306,13.095882129427228,0.01048887359755861,"$0.27\,\sigma_E$"
0.027386127875258306,16.377408460544906,0.008348287149077283,"$0.27\,\sigma_E$"
0.06409305095943511,0.23396297800778434,0.42607632508841864,"$0.64\,\sigma_E$"
0.06409305095943511,0.2925887097646437,0.39902386000343976,"$0.64\,\sigma_E$"
0.06409305095943511,0.36590469915667856,0.36195196340550556,"$0.64\,\sigma_E$"
0.06409305095943511,0.4575919862821658,0.31511112108244016,"$0.64\,\sigma_E$"
0.06409305095943511,0.5722539950764554,0.2597537619733628,"$0.64\,\sigma_E$"
0.06409305095943511,0.7156476614497188,0.20539834601558102,"$0.64\,\sigma_E$"
0.06409305095943511,0.8949724768108014,0.16131284735857826,"$0.64\,\sigma_E$"
