L_int_m,v_0_m_per_s,width
L_int_m,v_0_m_per_s,width
0.016,29679453.342,0.22783882783882792
0.016,29709432.5878,0.22490842490842494
0.016,29739411.8336,0.22295482295482302
0.016,29769391.0794,0.22100122100122105
0.016,29799370.3252,0.21953601953601956
0.016,29829349.571000002,0.2185592185592186
0.016,29859328.816800002,0.21758241758241767
0.016,29889308.0626,0.21709401709401716
0.016,29919287.3084,0.21660561660561667
0.016,29949266.5542,0.21611721611721618
0.016,29955928.608822223,0.21611721611721618
0.016,29962590.663444445,0.21611721611721618
0.016,29969252.718066666,0.21611721611721618
0.016,29975914.772688888,0.21587301587301588
0.016,29979245.8,0.2156288156288157
0.016,29982576.827311106,0.2156288156288157
0.016,29989238.88193333,0.2156288156288157
0.016,29995900.936555553,0.2156288156288157
0.016,30002562.99117778,0.2156288156288157
0.016,30009225.045799997,0.2156288156288157
0.016,30039204.2916,0.2156288156288157
0.016,30069183.537400004,0.2156288156288157
0.016,30099162.7832,0.21611721611721618
0.016,30129142.029,0.21660561660561667
0.016,30159121.274800003,0.21709401709401716
0.016,30189100.520600006,0.21709401709401716
0.016,30219079.766400002,0.21758241758241767
0.016,30249059.012199998,0.21807081807081807
0.016,30279038.258,0.21831501831501837
0.042,29679453.342,0.2590964590964592
0.042,29709432.5878,0.2915750915750916
0.042,29739411.8336,0.2888888888888889
0.042,29769391.0794,0.2532356532356533
0.042,29799370.3252,0.2507936507936508
0.042,29829349.571000002,0.24957264957264969
0.042,29859328.816800002,0.2488400488400489
0.042,29889308.0626,0.2483516483516484
0.042,29919287.3084,0.2488400488400489
0.042,29949266.5542,0.2490842490842492
0.042,29955928.608822223,0.24932844932844941
0.042,29962590.663444445,0.24932844932844941
0.042,29969252.718066666,0.24932844932844941
0.042,29975914.772688888,0.24932844932844941
0.042,29979245.8,0.2495726495726496
0.042,29982576.827311106,0.2495726495726496
0.042,29989238.88193333,0.2498168498168499
0.042,29995900.936555553,0.2498168498168499
0.042,30002562.99117778,0.2498168498168499
0.042,30009225.045799997,0.2500610500610501
0.042,30039204.2916,0.2505494505494506
0.042,30069183.537400004,0.28449328449328454
0.042,30099162.7832,0.28205128205128216
0.042,30129142.029,0.24395604395604403
0.042,30159121.274800003,0.24151404151404154
0.042,30189100.520600006,0.24053724053724057
0.042,30219079.766400002,0.23956043956043957
0.042,30249059.012199998,0.23956043956043957
0.042,30279038.258,0.23956043956043957
0.068,29679453.342,0.24200244200244206
0.068,29709432.5878,0.26275946275946277
0.068,29739411.8336,0.26422466422466434
0.068,29769391.0794,0.28400488400488405
0.068,29799370.3252,0.2590964590964592
0.068,29829349.571000002,0.24664224664224665
0.068,29859328.816800002,0.23565323565323568
0.068,29889308.0626,0.2361416361416362
0.068,29919287.3084,0.25763125763125766
0.068,29949266.5542,0.2586080586080587
0.068,29955928.608822223,0.2586080586080587
0.068,29962590.663444445,0.27960927960927967
0.068,29969252.718066666,0.28058608058608064
0.068,29975914.772688888,0.28107448107448113
0.068,29979245.8,0.28083028083028083
0.068,29982576.827311106,0.28058608058608064
0.068,29989238.88193333,0.27960927960927967
0.068,29995900.936555553,0.27814407814407816
0.068,30002562.99117778,0.27667887667887675
0.068,30009225.045799997,0.2547008547008548
0.068,30039204.2916,0.2527472527472528
0.068,30069183.537400004,0.2517704517704518
0.068,30099162.7832,0.25128205128205133
0.068,30129142.029,0.252014652014652
0.068,30159121.274800003,0.2527472527472528
0.068,30189100.520600006,0.27496947496947505
0.068,30219079.766400002,0.27350427350427353
0.068,30249059.012199998,0.24786324786324793
0.068,30279038.258,0.24639804639804644
0.094,29679453.342,0.2498168498168499
0.094,29709432.5878,0.2498168498168499
0.094,29739411.8336,0.2503052503052503
0.094,29769391.0794,0.28253968253968254
0.094,29799370.3252,0.26324786324786326
0.094,29829349.571000002,0.24590964590964592
0.094,29859328.816800002,0.24566544566544565
0.094,29889308.0626,0.24615384615384622
0.094,29919287.3084,0.2700854700854701
0.094,29949266.5542,0.27643467643467656
0.094,29955928.608822223,0.25958485958485966
0.094,29962590.663444445,0.2590964590964592
0.094,29969252.718066666,0.2586080586080587
0.094,29975914.772688888,0.25811965811965815
0.094,29979245.8,0.2578754578754579
0.094,29982576.827311106,0.2498168498168499
0.094,29989238.88193333,0.24151404151404154
0.094,29995900.936555553,0.24151404151404154
0.094,30002562.99117778,0.24151404151404154
